Belgrave Heights ,6,8.8,8.6,8.4,7.6,23.6,30.1,3.5,1.9,0.8,0.2,0.6,"1,400",0,0,0,0,0,0,0,0,0,0,0,16.5,5.9,England,160,6.2,Netherlands,40,1.6,New Zealand,38,1.5,United States of America,22,0.9,Germany,20,0.8,German,12,0.9,Polish,7,0.5,Danish,6,0.5,Dutch,5,0.4,Latvian,5,0.4
Belgrave South ,4.2,5.6,8.5,9,8.5,20.5,31.6,5.4,3.9,1,1.3,0.6,"1,549",0,0,0,0,0,0,1,1,0,0,0,16.9,6.6,England,178,6.1,New Zealand,64,2.2,Netherlands,58,2,Germany,30,1,Scotland,28,1,Dutch,14,1,German,9,0.6,Greek,8,0.5,Spanish,8,0.5,Hungarian,8,0.5
Belgrave ,7.1,6.4,6.5,7.5,7.2,29.7,28.1,2.8,1.8,1.4,0.7,0.6,"4,078",0,0,1,0,0,0,1,1,1,1,0,17.8,6.8,England,516,6.8,New Zealand,158,2.1,Netherlands,70,0.9,United States of America,66,0.9,Germany,62,0.8,German,34,0.9,Dutch,30,0.8,French,23,0.6,Spanish,19,0.5,Mandarin,15,0.4
Bell Park ,5.6,5.2,5,5.5,6.6,25.8,22.1,4.9,5.5,5.6,3.7,4.3,"5,436",1,0,0,0,0,0,2,2,1,0,1,34.3,31.1,Croatia,866,8.7,Italy,270,2.7,Bosnia and Herzegovina,220,2.2,Poland,172,1.7,England,150,1.5,Croatian,691,13.8,Italian,187,3.7,Ukrainian,141,2.8,Macedonian,120,2.4,Serbian,108,2.2
Bell Post Hill ,5.3,4.8,5.8,6.3,5.7,22.6,28.3,8.1,5.6,3.5,2.5,1.6,"5,032",0,0,0,0,0,0,2,1,0,1,0,29.8,25.1,Croatia,406,4.4,FYR Macedonia,334,3.6,Italy,310,3.3,England,196,2.1,Germany,150,1.6,Croatian,313,6.6,Macedonian,246,5.2,Italian,194,4.1,Serbian,97,2.1,Polish,84,1.8
Bellfield ,6,6.2,4.9,5.7,8.8,33.4,22.9,2.3,3.1,2.1,2.9,1.6,"1,811",0,0,0,0,0,0,0,0,0,0,1,32.3,27.5,India,138,4.3,Lebanon,106,3.3,China,100,3.1,Somalia,88,2.7,England,74,2.3,Arabic,124,7.6,Somali,54,3.3,Greek,50,3.1,Italian,43,2.6,Mandarin,42,2.6
Belmont ,5.8,5.3,5.1,5.6,7.5,28.2,22.9,4.7,3.7,3.6,3.7,3.9,"13,952",0,0,1,58,198,49,2,5,2,0,1,14.8,8.1,England,858,3.3,India,300,1.2,New Zealand,260,1,Scotland,236,0.9,Italy,220,0.8,Italian,160,1.2,Mandarin,84,0.6,German,81,0.6,Greek,70,0.5,Hindi,47,0.4
Bendigo ,4.8,5.6,5.9,6.1,11,26.9,25.7,3.9,2.9,2.7,2.1,2.5,"5,908",2,1,2,60,0,0,3,2,2,2,1,9.5,4.9,England,262,2.5,India,98,0.9,Burma (Myanmar),86,0.8,New Zealand,78,0.7,Thailand,60,0.6,Karen,52,1,Malayalam,23,0.4,Mandarin,20,0.4,Tamil,12,0.2,Afrikaans,11,0.2
Bentleigh ,6.3,6.3,6.4,6.4,6.3,27.8,25.7,3.8,3.1,2.6,2.4,2.9,"15,914",0,2,0,0,45,78,1,2,1,0,0,32.5,24,England,1044,3.6,China,1034,3.6,India,868,3,New Zealand,576,2,Greece,508,1.8,Greek,760,5.2,Mandarin,517,3.6,Russian,497,3.4,Italian,301,2.1,Hebrew,161,1.1
Berwick ,7.4,7.8,7.7,7.8,6.3,29.5,22.6,3.2,2.6,1.9,1.7,1.5,"46,581",1,3,1,120,140,0,9,7,3,2,0,28.7,16.8,England,4912,5.7,Sri Lanka,1982,2.3,India,1936,2.3,New Zealand,1530,1.8,South Africa,1360,1.6,Sinhalese,918,2.1,Mandarin,626,1.5,Italian,415,1,Spanish,333,0.8,Hindi,328,0.8
Bittern ,5.8,7.8,8.3,7.9,5.7,24.5,26.6,5.4,3,1.8,1.7,1.4,"3,500",0,0,0,0,0,0,1,1,0,0,0,14.3,3.1,England,532,8.2,Scotland,82,1.3,New Zealand,72,1.1,Germany,60,0.9,Netherlands,44,0.7,German,20,0.6,Dutch,11,0.3,Indonesian,6,0.2,Thai,5,0.2,Italian,<5,n/a
Black Hill ,6.9,6.1,6,6.3,8.7,26.5,24.3,3.8,3.5,3.1,2.4,2.3,"4,922",0,0,0,0,0,96,2,2,0,0,0,8.6,4.3,England,220,2.4,Scotland,70,0.8,New Zealand,54,0.6,Netherlands,48,0.5,India,42,0.5,Italian,28,0.6,Croatian,23,0.5,Mandarin,16,0.4,German,11,0.2,Persian (excluding Dari),10,0.2
Black Rock ,4.4,6.8,5.9,5.5,5.1,21.3,30.3,6.3,3.9,3.7,3.4,3.5,"6,218",0,0,0,0,0,0,2,2,0,0,0,22.5,9.5,England,804,7.2,New Zealand,212,1.9,South Africa,144,1.3,United States of America,136,1.2,Scotland,90,0.8,Greek,103,1.8,Italian,54,1,Russian,40,0.7,Mandarin,39,0.7,French,34,0.6
Blackburn North ,7.2,6.5,6.6,5.7,5.4,28.2,22.9,4,4.1,3.7,3.3,2.3,"7,350",0,0,0,0,0,0,3,3,0,0,0,31,25.2,China,706,5.2,England,376,2.8,Malaysia,316,2.3,India,230,1.7,Italy,226,1.7,Cantonese,390,5.7,Mandarin,390,5.7,Greek,291,4.3,Italian,196,2.9,Vietnamese,80,1.2
Blackburn South ,6.2,6.1,5.6,6,5.9,26,23.1,4.6,4.4,4.4,3.9,3.9,"10,997",0,1,0,130,185,0,5,2,0,0,1,30.8,24.1,China,1020,5.1,England,584,2.9,India,430,2.1,Malaysia,426,2.1,Vietnam,370,1.8,Mandarin,567,5.6,Cantonese,536,5.3,Greek,447,4.4,Italian,129,1.3,Vietnamese,124,1.2
Blackburn ,5.6,6.3,5.6,6.3,6.7,25.9,25.1,4.4,3.3,3.7,3.5,3.7,"13,428",0,0,0,144,58,121,5,4,1,0,0,25.7,17.7,England,974,4,China,934,3.8,India,618,2.5,New Zealand,396,1.6,Malaysia,340,1.4,Mandarin,473,3.9,Cantonese,284,2.3,Greek,134,1.1,Punjabi,123,1,Italian,116,0.9
Blairgowrie ,4.3,4.9,5.2,3.2,3,18.5,26.5,9.9,10.4,6,4.7,3.4,"2,222",0,0,0,0,0,0,0,0,0,0,0,13.7,5.8,England,256,6.4,Italy,56,1.4,Germany,32,0.8,Scotland,32,0.8,Ireland,28,0.7,Italian,34,1.7,German,13,0.6,Greek,12,0.6,French,11,0.5,Arabic,7,0.3
Bonbeach ,6.6,5.4,3.5,4.1,5.4,33.1,24.7,4.9,3.6,3,2.7,2.9,"6,026",0,0,0,188,0,0,1,1,0,0,0,24,12.5,England,646,6.1,New Zealand,224,2.1,China,156,1.5,India,120,1.1,Scotland,114,1.1,Mandarin,71,1.3,Greek,61,1.1,Italian,58,1.1,Russian,56,1.1,Dutch,43,0.8
Boronia ,6.1,5.2,5,5.6,6.8,29.5,25.4,5.1,4,2.7,2.3,2.3,"21,453",0,1,0,153,58,14,5,4,0,1,0,23.5,14,England,2224,5.6,India,588,1.5,Germany,582,1.5,China,524,1.3,New Zealand,506,1.3,German,323,1.6,Mandarin,293,1.5,Cantonese,241,1.2,Italian,176,0.9,Spanish,97,0.5
Botanic Ridge ,11.7,8.5,5.6,5.9,6,41.9,17,2,0.7,0.3,0.4,0,"1,980",0,0,0,0,0,0,0,0,0,0,0,18,6.3,England,204,6,New Zealand,78,2.3,South Africa,42,1.2,Germany,24,0.7,Scotland,22,0.6,Afrikaans,18,1.1,Italian,14,0.8,German,13,0.8,Spanish,11,0.6,Samoan,10,0.6
Box Hill North ,6,6.1,5.4,5.8,8,30.1,23,3.9,3.5,3.1,2.7,2.4,"11,446",0,0,0,0,0,36,3,2,0,0,1,40.2,34.6,China,2444,11.6,Malaysia,658,3.1,England,488,2.3,India,482,2.3,Hong Kong,480,2.3,Mandarin,1241,11.7,Cantonese,794,7.5,Greek,390,3.7,Italian,295,2.8,Korean,182,1.7
Box Hill South ,6.5,6.2,5.4,6.1,8.5,28.8,24,3.8,2.8,2.6,3,2.5,"8,250",0,0,0,0,0,0,2,1,0,1,0,32.8,26,China,1270,8.6,England,466,3.2,Malaysia,296,2,Vietnam,258,1.8,India,242,1.6,Mandarin,605,8.2,Cantonese,354,4.8,Greek,181,2.5,Italian,98,1.3,Vietnamese,95,1.3
Box Hill ,4.3,3.8,3.9,5.6,15.8,34.3,18.8,2.7,2.5,2.5,2.4,3.3,"10,246",1,2,1,76,125,0,1,1,2,0,0,53,49.3,China,3946,22.3,India,780,4.4,Hong Kong,638,3.6,Malaysia,604,3.4,Vietnam,330,1.9,Mandarin,1822,20.4,Cantonese,955,10.7,Italian,160,1.8,Hindi,154,1.7,Vietnamese,124,1.4
Braybrook ,8,6.4,5.8,6.8,9.1,33.2,20.5,2.6,2.3,2.2,1.7,1.2,"8,760",0,0,1,0,0,0,1,2,2,0,1,57.4,54.1,Vietnam,3480,23.7,India,810,5.5,China,512,3.5,Philippines,378,2.6,Burma (Myanmar),342,2.3,Vietnamese,2262,30.6,Cantonese,584,7.9,Somali,235,3.2,Mandarin,208,2.8,Punjabi,161,2.2
Breakwater ,6.4,5.2,3.5,7.1,10.3,26.1,21.1,7.9,4.4,4.2,2,1.7,"1,095",0,0,0,0,0,0,0,0,0,0,0,14.8,8.9,England,70,3.6,Bosnia and Herzegovina,22,1.1,Croatia,22,1.1,New Zealand,22,1.1,Switzerland,18,0.9,Croatian,15,1.5,Dutch,12,1.2,Serbian,10,1,Afrikaans,6,0.6,Ukrainian,6,0.6
Briar Hill ,6.3,5.1,5.1,6.3,7.1,30.3,25,4.6,4.4,3.3,1.7,0.8,"3,192",0,0,0,0,0,0,0,2,0,0,0,15.7,7.9,England,272,4.5,New Zealand,98,1.6,Italy,76,1.3,Germany,72,1.2,China,56,0.9,Italian,45,1.5,Mandarin,27,0.9,German,24,0.8,Greek,21,0.7,Slovene,10,0.3
Brighton East ,5.3,7.3,6.9,6.4,5.9,21.6,27,5.1,3.5,2.9,3.4,4.8,"16,675",0,0,0,166,237,22,4,2,1,1,0,27.7,16.3,England,1488,4.9,South Africa,642,2.1,New Zealand,478,1.6,China,454,1.5,Poland,424,1.4,Greek,548,3.6,Russian,362,2.4,Italian,287,1.9,Mandarin,272,1.8,Hebrew,146,1
Brighton ,5.1,6.3,6.1,6.3,5.7,20.7,29.6,6.2,4.4,3,2.8,3.7,"22,547",0,4,0,290,146,29,9,6,1,2,0,26.3,13.3,England,2498,6.3,New Zealand,742,1.9,United States of America,662,1.7,South Africa,582,1.5,China,516,1.3,Greek,394,2,Italian,303,1.5,Russian,277,1.4,Mandarin,236,1.2,German,219,1.1
Broadmeadows ,8.3,7.5,7.2,8,7.8,29.3,20.1,3.8,2.7,2.4,1.9,1,"11,187",0,0,2,4,27,0,1,4,2,1,1,46.9,43.1,Iraq,1400,7.5,Turkey,1246,6.7,Lebanon,1006,5.4,India,524,2.8,Vietnam,380,2,Arabic,1915,20.5,Turkish,1126,12.1,Assyrian (Neo-Aramaic),343,3.7,Vietnamese,261,2.8,Chaldean (Neo-Aramaic),237,2.5
Brooklyn ,6,2.5,4.3,3.6,8.4,37.4,23.4,3,2.4,4.2,2.7,2.1,"1,728",0,0,0,0,0,0,1,1,0,0,0,43.2,37.2,Vietnam,158,5.2,Italy,140,4.6,New Zealand,94,3.1,China,84,2.8,Philippines,70,2.3,Italian,108,7,Vietnamese,105,6.8,Cantonese,60,3.9,Greek,46,3,Mandarin,37,2.4
Brunswick East ,5,3.9,3.1,2.8,9.4,48.1,17,2.7,2.5,2.4,1.8,1.4,"9,114",0,0,0,20,5,0,1,3,0,0,0,33.9,24.8,Italy,1036,6.4,England,540,3.4,New Zealand,424,2.6,Greece,412,2.6,China,258,1.6,Italian,791,9.9,Greek,393,4.9,Arabic,215,2.7,Mandarin,164,2,Spanish,92,1.1
Brunswick ,5.5,3.2,2.3,3.1,11.5,46.7,17.5,2.6,2.4,2.2,1.6,1.5,"24,433",0,2,1,140,60,107,4,2,2,0,0,34.8,26.5,Italy,1864,4.4,Greece,1614,3.8,England,1274,3,New Zealand,1088,2.6,China,964,2.3,Italian,1426,6.7,Greek,1412,6.6,Arabic,686,3.2,Mandarin,480,2.2,Nepali,303,1.4
Brunswick West ,5.4,4.1,3.4,3.5,10.4,41.4,19.8,3.1,2.7,2.5,1.8,1.9,"13,959",0,0,0,39,72,0,1,3,0,0,0,36.4,30,Italy,1164,4.7,India,866,3.5,Greece,826,3.3,England,552,2.2,China,532,2.2,Italian,915,7.4,Greek,811,6.5,Arabic,405,3.3,Mandarin,291,2.3,Nepali,147,1.2
Bulleen ,5.5,5.4,4.8,5.2,6.1,25.6,24.1,5.5,6.5,5.3,3.8,2.2,"11,404",0,0,0,0,0,0,3,1,1,0,1,40.9,37.6,Italy,1928,9.2,China,1292,6.1,Greece,1002,4.8,Malaysia,416,2,Vietnam,362,1.7,Italian,1408,13.3,Greek,1091,10.3,Cantonese,694,6.6,Mandarin,620,5.9,Arabic,185,1.7
Bundoora ,5.3,5.3,4.9,6.8,12.4,28.4,22.4,4.7,3.3,2.8,2,1.8,"27,155",1,3,0,181,60,0,4,3,2,1,1,38,33.9,China,3674,7.6,Italy,1458,3,India,1164,2.4,Greece,1124,2.3,FYR Macedonia,1080,2.2,Mandarin,1792,7.3,Italian,1315,5.4,Greek,1145,4.7,Macedonian,1035,4.2,Arabic,691,2.8
Buninyong ,8.2,7.9,6.5,6.5,6.7,24.1,27.6,4.7,3.5,2.2,1.4,0.7,"2,721",0,0,0,0,0,0,0,1,0,0,0,10.1,2.8,England,254,5,Netherlands,46,0.9,Scotland,44,0.9,New Zealand,36,0.7,South Africa,22,0.4,Dutch,10,0.4,French,9,0.3,Afrikaans,8,0.3,Greek,<5,n/a,Mandarin,<5,n/a
Burnley ,5.4,3.1,1.6,1.1,11.8,53,16.7,3.5,1.6,1.4,0.3,0.4,796,0,0,0,0,0,0,0,0,0,0,0,26.8,16.9,England,72,5,India,62,4.3,New Zealand,36,2.5,Greece,30,2.1,Ireland,24,1.7,Greek,36,5,Hindi,14,1.9,Mandarin,12,1.7,Spanish,8,1.1,Vietnamese,8,1.1
Burnside Heights ,11.3,8.6,7.1,5.8,6.1,43.3,15.4,0.9,0.6,0.4,0.3,0.1,"5,561",0,0,0,0,0,0,0,1,0,0,0,47.1,42.7,Philippines,664,6.9,India,546,5.7,Vietnam,440,4.6,Sri Lanka,204,2.1,New Zealand,192,2,Vietnamese,335,7,Tagalog,167,3.5,Macedonian,161,3.4,Filipino,148,3.1,Spanish,123,2.6
